GID_2,id,province,district,ln_y1990,ln_y1991,ln_y1992,ln_y1993,ln_y1994,ln_y1995,ln_y1996,ln_y1997,ln_y1998,ln_y1999,ln_y2000,ln_y2001,ln_y2002,ln_y2003,ln_y2004,ln_y2005,ln_y2006,ln_y2007,ln_y2008,ln_y2009,ln_y2010,ln_y2011,ln_y2012,ln_y2013,ln_y2014,ln_y2015,ln_y2016,ln_y2017,ln_y2018,ln_y2019,ln_y2020,ln_y2021,ln_y2022
KHM.1.1_2,1,BântéayMéanchey,Malai,6.5161929,6.5666723,6.4785094,6.933423,6.4377518,6.4754329,6.5191474,6.5467854,6.555357,6.7627296,6.8426833,6.8511848,6.865891,6.9206715,7.2181768,7.3613753,7.4241652,7.4696541,7.4627891,7.4781699,7.4736371,7.662468,7.6975756,7.7927618,7.8789129,7.9585767,8.0439844,7.9323621,7.8969245,7.9459095,7.8781552,7.8739786,7.9280457
KHM.1.2_2,2,BântéayMéanchey,MongkolBorei,6.9800758,7.0085053,7.2019162,7.6372342,7.1884127,7.2370591,7.266129,7.2562971,7.2710085,7.420579,7.488853,7.5283318,7.5704432,7.6338534,7.700748,7.6444407,7.7204618,7.809947,7.9444923,7.9469714,7.9127893,7.8438487,7.893199,7.9969902,8.1095257,8.3471165,8.3209352,8.2195959,8.3820601,8.3062248,8.1892443,8.1113281,8.2453842
KHM.1.3_2,3,BântéayMéanchey,OuChrov,7.5490828,7.5791678,7.6024013,8.0362501,7.58883,7.6652846,7.698936,7.4922032,7.7406645,7.7956467,7.877018,7.8819375,7.9222612,7.9703951,8.0465498,8.1092253,8.1931238,8.0368967,8.0100279,8.0006847,8.0557928,8.103797,8.148735,8.1945057,8.2794437,8.3337507,8.2995348,8.5065365,8.5893278,8.6894646,8.648572,8.3918571,8.4416075
KHM.1.4_2,4,BântéayMéanchey,PaoyPaet,7.3018222,7.3072023,7.3105502,7.7454357,7.0308576,6.944087,6.9754138,6.9527287,6.9431224,7.009409,7.070724,7.2399325,7.3024964,7.3244901,7.3858509,7.4529824,7.5989003,7.9284062,7.894691,8.1842346,8.1758289,8.2985392,8.3430777,8.3829756,8.4400959,8.4658995,8.5893278,8.6614666,8.6975126,8.7557373,8.6770983,8.8016195,8.8540936
KHM.1.5_2,5,BântéayMéanchey,PhnumSrok,6.4645882,6.4952655,6.5176711,7.0228682,6.505784,6.5638556,6.6039438,6.5957804,6.5957804,6.7707896,6.8824377,6.9402223,6.9874902,6.9975958,7.0884089,7.2093401,7.3802557,7.4448333,7.4042792,7.4175806,7.4277387,7.41998,7.4730692,7.5175209,7.6133251,7.6638775,7.7625961,7.786552,7.9024873,8.0576944,8.0033627,8.1573706,8.1455498
KHM.1.6_2,6,BântéayMéanchey,PreahNetrPreah,6.5875502,6.616065,6.652863,7.091742,6.6385679,6.617403,6.7569323,6.6920838,6.7093043,6.7007313,6.72263,6.7522702,6.8844867,7.0085053,7.0509896,7.1808314,7.1959372,7.2717037,7.303843,7.2254815,7.2341771,7.3889461,7.6501689,7.6362696,7.7363071,7.7828074,7.818028,7.8965526,7.9922686,8.0471897,8.0202703,8.1397324,8.4614687
KHM.1.7_2,7,BântéayMéanchey,SereiSaophoan,7.5574727,7.5852809,7.6108527,8.0446262,7.5963922,7.6563373,7.629004,7.6088705,7.6143122,7.6525459,7.7209053,7.8127828,7.8139958,7.8667221,7.9412956,7.9932823,8.2957983,8.3719358,8.4182568,8.4209023,8.3756294,8.3954773,8.4623146,8.5047159,8.5479164,8.6154079,8.7498913,8.8391314,8.9015026,8.8887568,8.5087576,8.3303814,8.4497709
KHM.1.8_2,8,BântéayMéanchey,SvayChek,6.5042882,6.5337887,6.6200733,6.9186954,6.4997869,6.6489844,6.6133842,6.6187391,6.7141705,6.7369671,6.8057227,6.7719355,6.812345,6.8490663,6.9246125,7.2619271,7.2758646,7.3310604,7.3765082,7.3815017,7.4494982,7.5806999,7.6162834,7.509335,7.5153446,7.601902,7.6525459,7.6680937,7.8156104,7.8143997,7.7292957,7.7769542,7.8119736
KHM.1.9_2,9,BântéayMéanchey,ThmaPuok,6.49224,6.5206213,6.5410299,7.0466471,6.5220928,6.6025877,6.6437898,6.6450911,6.6732979,6.7990561,6.8585649,6.9517722,6.9930153,7.0492549,7.1252832,7.2506356,7.3192024,7.3505163,7.3944931,7.3864708,7.4667993,7.5559049,7.5475016,7.4988699,7.5878172,7.671361,7.728416,7.7956467,7.961719,7.9186287,7.9080195,7.9851441,7.9909153
KHM.10.1_2,10,Kep,DamnakChang'aeur,6.4248691,6.4707994,6.4952655,7.0085053,6.4846354,6.5250297,6.5820251,6.5666723,6.5834093,6.7345915,6.8023949,6.8690143,6.9087548,6.9828629,7.0630484,7.1701198,7.374002,7.4324837,7.4157772,7.4235682,7.4283333,7.5438027,7.6314316,7.6420445,7.6520705,7.7354336,7.8343921,7.8671055,8.0057011,7.9707403,7.9327211,8.0633774,7.9990072
KHM.10.2_2,11,Kep,Kaeb,6.43294,6.4614682,6.4692502,6.9603477,6.4551988,6.4937539,6.5610309,6.5834093,6.6012301,6.7464123,6.7044144,6.8752322,6.9186954,6.8490663,6.9744787,7.0621915,7.1569562,7.2598195,7.21524,7.2943773,7.2276626,7.3518,7.3883281,7.3783836,7.4217758,7.4776044,7.5812097,7.6033993,7.7794671,7.8320141,7.6797137,7.8796701,7.9895606
KHM.11.1_2,12,Krâchéh,ChetrBorei,6.3952618,6.4441314,6.4692502,6.9669671,6.4002576,6.6372581,6.6253924,6.6385679,6.658011,6.765039,6.8265452,6.8987145,6.9382844,7.1090622,7.166266,7.2370591,7.3440728,7.4289274,7.5315523,7.5832477,7.5862961,7.6348205,7.6534948,7.7450027,7.8083229,7.858254,7.8458076,7.7510452,7.8709297,7.8520503,7.8139958,7.8212419,7.8054748
