GID_2,id,province,district,trend100_ln_y1990,trend100_ln_y1991,trend100_ln_y1992,trend100_ln_y1993,trend100_ln_y1994,trend100_ln_y1995,trend100_ln_y1996,trend100_ln_y1997,trend100_ln_y1998,trend100_ln_y1999,trend100_ln_y2000,trend100_ln_y2001,trend100_ln_y2002,trend100_ln_y2003,trend100_ln_y2004,trend100_ln_y2005,trend100_ln_y2006,trend100_ln_y2007,trend100_ln_y2008,trend100_ln_y2009,trend100_ln_y2010,trend100_ln_y2011,trend100_ln_y2012,trend100_ln_y2013,trend100_ln_y2014,trend100_ln_y2015,trend100_ln_y2016,trend100_ln_y2017,trend100_ln_y2018,trend100_ln_y2019,trend100_ln_y2020,trend100_ln_y2021,trend100_ln_y2022
KHM.1.1_2,1,BântéayMéanchey,Malai,6.5041537,6.5172253,6.530417,6.5443439,6.5591021,6.5786777,6.605844,6.6423416,6.689044,6.7458701,6.8113999,6.8843842,6.9638853,7.0486336,7.1363802,7.2235966,7.3075709,7.3869705,7.4616284,7.5322037,7.5993681,7.6632519,7.7227297,7.7766666,7.8236766,7.8625355,7.8925705,7.9140697,7.9288349,7.9388514,7.9457846,7.9513717,7.9566722
KHM.1.2_2,2,BântéayMéanchey,MongkolBorei,7.0758734,7.1207848,7.1647382,7.2056527,7.2418199,7.2758455,7.3098035,7.3453779,7.3838172,7.4254789,7.4695916,7.5153365,7.5620856,7.6093421,7.6566925,7.703968,7.751441,7.7987881,7.845376,7.8906837,7.9351811,7.9799004,8.025651,8.0718794,8.1167116,8.1575212,8.1916103,8.2181787,8.2377195,8.2507372,8.259182,8.2655592,8.2716732
KHM.1.3_2,3,BântéayMéanchey,OuChrov,7.5918121,7.6144323,7.6366253,7.6576114,7.6762676,7.6952591,7.7163749,7.7411056,7.7707663,7.8041844,7.8398852,7.8763094,7.9122677,7.946629,7.9783607,8.0066681,8.0314388,8.0535851,8.0756378,8.0999603,8.1282578,8.1612444,8.1989117,8.2406721,8.2854404,8.3316669,8.3777447,8.4220848,8.4623175,8.4969187,8.5256329,8.5501299,8.5733109
KHM.1.4_2,4,BântéayMéanchey,PaoyPaet,7.328248,7.2840142,7.2395163,7.1947217,7.1503086,7.1124616,7.0861721,7.0747461,7.0803833,7.104063,7.145391,7.2030277,7.2748866,7.3592496,7.4546752,7.5593743,7.6708694,7.7856193,7.8993626,8.0092669,8.1124516,8.2077866,8.294775,8.3738298,8.4458427,8.5118008,8.5726328,8.6288061,8.6809578,8.7300501,8.7772121,8.8238277,8.8702812
KHM.1.5_2,5,BântéayMéanchey,PhnumSrok,6.4951763,6.524035,6.5525875,6.5802412,6.6060524,6.6335049,6.6650796,6.7025604,6.7471213,6.7988667,6.856389,6.9179983,6.9822669,7.0479884,7.1140089,7.1786699,7.2400575,7.2965651,7.3479872,7.3956008,7.441247,7.4869852,7.5347404,7.5857682,7.6407065,7.6995115,7.7618647,7.8270922,7.8945265,7.9630957,8.031806,8.1006117,8.1691818
KHM.1.6_2,6,BântéayMéanchey,PreahNetrPreah,6.6459761,6.6603756,6.6741905,6.6863942,6.6957455,6.7050571,6.7165709,6.7316504,6.7520642,6.7791848,6.8139572,6.8565416,6.9061847,6.9610915,7.019249,7.0791187,7.1394801,7.2001281,7.2614245,7.3244448,7.3906898,7.4606709,7.5333333,7.6069059,7.6807852,7.754662,7.8287821,7.9036727,7.9797535,8.057373,8.1370049,8.2190199,8.3026247
KHM.1.7_2,7,BântéayMéanchey,SereiSaophoan,7.611372,7.6221514,7.6323915,7.6411853,7.647409,7.6539741,7.6632824,7.6777577,7.6994824,7.7298503,7.769402,7.8179059,7.8746462,7.9388542,8.0091562,8.083456,8.1589794,8.2320509,8.3003626,8.3630056,8.4202499,8.4729443,8.5214911,8.5655193,8.604064,8.6355553,8.6578588,8.6686392,8.6664839,8.6516819,8.6268759,8.5970745,8.5661106
KHM.1.8_2,8,BântéayMéanchey,SvayChek,6.5454535,6.5656099,6.5853548,6.6039581,6.621037,6.6393566,6.6604691,6.6860228,6.717195,6.7544909,6.7983851,6.8491764,6.907238,6.9721699,7.0426235,7.1160188,7.1885967,7.2580562,7.3229685,7.382637,7.4368978,7.4855776,7.5286283,7.5669537,7.6023326,7.6359692,7.6681972,7.6990099,7.7282438,7.7554259,7.7809577,7.80583,7.8305168
KHM.1.9_2,9,BântéayMéanchey,ThmaPuok,6.5227547,6.5525451,6.5820298,6.6105857,6.6371775,6.6651311,6.6966228,6.7332025,6.7758908,6.8248291,6.8791318,6.9376559,6.999052,7.0621128,7.1255708,7.1880283,7.2480865,7.3049722,7.3586226,7.409431,7.4581499,7.5053005,7.5514927,7.5978403,7.6454191,7.694314,7.7440343,7.793859,7.8429122,7.8903356,7.9364576,7.9818916,8.0269651
KHM.10.1_2,10,Kep,DamnakChang'aeur,6.4704728,6.4980044,6.5250802,6.550972,6.5746531,6.5996728,6.6286802,6.663578,6.705802,6.7558184,6.812871,6.8759899,6.9441018,7.0160618,7.0903735,7.1652074,7.2384601,7.3080797,7.3733668,7.4348683,7.4935536,7.550281,7.6052542,7.6586142,7.710762,7.7619352,7.8117819,7.8596873,7.905261,7.9481878,7.9891572,8.0290833,8.0683165
