GID_2,id,province,district,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
KHM.1.1_2,1,BântéayMéanchey,Malai,676,711,651,1026,625,649,678,697,703,865,937,945,959,1013,1364,1574,1676,1754,1742,1769,1761,2127,2203,2423,2641,2860,3115,2786,2689,2824,2639,2628,2774
KHM.1.2_2,2,BântéayMéanchey,MongkolBorei,1075,1106,1342,2074,1324,1390,1431,1417,1438,1670,1788,1860,1940,2067,2210,2089,2254,2465,2820,2827,2732,2550,2679,2972,3326,4218,4109,3713,4368,4049,3602,3332,3810
KHM.1.3_2,3,BântéayMéanchey,OuChrov,1899,1957,2003,3091,1976,2133,2206,1794,2300,2430,2636,2649,2758,2894,3123,3325,3616,3093,3011,2983,3152,3307,3459,3621,3942,4162,4022,4947,5374,5940,5702,4411,4636
KHM.1.4_2,4,BântéayMéanchey,PaoyPaet,1483,1491,1496,2311,1131,1037,1070,1046,1036,1107,1177,1394,1484,1517,1613,1725,1996,2775,2683,3584,3554,4018,4201,4372,4629,4750,5374,5776,5988,6347,5867,6645,7003
KHM.1.5_2,5,BântéayMéanchey,PhnumSrok,642,662,677,1122,669,709,738,732,732,872,975,1033,1083,1094,1198,1352,1604,1711,1643,1665,1682,1669,1760,1840,2025,2130,2351,2408,2704,3158,2991,3489,3448
KHM.1.6_2,6,BântéayMéanchey,PreahNetrPreah,726,747,775,1202,764,748,860,806,820,813,831,856,977,1106,1154,1314,1334,1439,1486,1374,1386,1618,2101,2072,2290,2399,2485,2688,2958,3125,3042,3428,4729
KHM.1.7_2,7,BântéayMéanchey,SereiSaophoan,1915,1969,2020,3117,1991,2114,2057,2016,2027,2106,2255,2472,2475,2609,2811,2961,4007,4324,4529,4541,4340,4427,4733,4938,5156,5516,6310,6899,7343,7250,4958,4148,4674
KHM.1.8_2,8,BântéayMéanchey,SvayChek,668,688,750,1011,665,772,745,749,824,843,903,873,909,943,1017,1425,1445,1527,1598,1606,1719,1960,2031,1825,1836,2002,2106,2139,2479,2476,2274,2385,2470
KHM.1.9_2,9,BântéayMéanchey,ThmaPuok,660,679,693,1149,680,737,768,769,791,897,952,1045,1089,1152,1243,1409,1509,1557,1627,1614,1749,1912,1896,1806,1974,2146,2272,2430,2869,2748,2719,2937,2954
KHM.10.1_2,10,Kep,DamnakChang'aeur,617,646,662,1106,655,682,722,711,723,841,900,962,1001,1078,1168,1300,1594,1690,1662,1675,1683,1889,2062,2084,2105,2288,2526,2610,2998,2895,2787,3176,2978
KHM.10.2_2,11,Kep,Kaeb,622,640,645,1054,636,661,707,723,736,851,816,968,1011,943,1069,1167,1283,1422,1360,1472,1377,1559,1617,1601,1672,1768,1961,2005,2391,2520,2164,2643,2950
KHM.11.1_2,12,Krâchéh,ChetrBorei,599,629,645,1061,602,763,754,764,779,867,922,991,1031,1223,1295,1390,1547,1684,1866,1965,1971,2069,2108,2310,2461,2587,2555,2324,2620,2571,2475,2493,2454
KHM.11.2_2,13,Krâchéh,Chhloung,620,638,642,1047,634,760,773,796,787,926,1057,1143,1210,1352,1505,1774,1844,1954,1979,2138,2170,2324,2296,2574,2610,2706,2819,2641,2957,2969,2564,2324,2256
KHM.11.3_2,14,Krâchéh,Kracheh,765,752,772,1318,801,1041,1017,1092,964,1193,1237,1319,1373,1480,1596,1808,1584,1709,1671,1636,1757,1870,1853,1899,1916,1974,2156,2060,1810,2318,1941,2221,2551
KHM.11.4_2,15,Krâchéh,PrekPrasab,616,633,651,1069,642,740,785,768,775,861,914,1091,1140,1197,1272,1455,1642,1798,1861,1889,1906,1928,1984,2150,2181,2316,2132,2232,2780,2907,2605,2578,2640
KHM.11.5_2,16,Krâchéh,Sambour,665,684,703,1101,693,699,720,723,736,805,861,916,953,995,1081,1196,1322,1382,1445,1455,1522,1477,1525,1591,1705,1826,1934,2007,2367,2481,2335,2627,2703
KHM.11.6_2,17,Krâchéh,Snuol,938,962,991,1573,960,1006,1049,1059,1077,1211,1297,1378,1414,1455,1570,1785,1948,2253,2363,2469,2388,2256,2333,2408,2268,2130,2095,2018,2294,2125,1991,2244,2346
KHM.12.1_2,18,KrongPailin,Pailin,850,871,714,1052,684,698,730,754,816,989,1098,1109,1071,1220,1295,1695,1639,1590,1495,1578,1686,1637,1653,1726,1735,1857,2226,2462,2543,3807,3402,3467,3811
KHM.12.2_2,19,KrongPailin,SalaKrau,906,916,945,1466,879,916,1003,950,954,922,866,877,980,1033,1038,1283,1443,1714,1770,1681,1739,2008,1813,1797,1584,1672,1906,2095,1998,2684,2646,3778,3363
KHM.13.1_2,20,KrongPreahSihanouk,KampongSeila,718,752,771,1212,692,808,832,784,798,1001,1110,1139,1186,1217,1313,1478,1720,1852,1940,1984,2023,2093,2211,2324,2403,2419,2780,2869,3013,3343,3153,4097,4134
KHM.13.2_2,21,KrongPreahSihanouk,PreahSihanouk,3325,3420,3502,5405,3454,3698,3807,4012,4083,4456,4770,4835,5042,5291,5707,6379,6910,7540,7925,7877,8314,8459,8715,9092,9593,10129,10708,11244,11266,11800,11079,11270,11555
KHM.13.3_2,22,KrongPreahSihanouk,PreyNob,631,724,761,1153,741,800,1040,1046,1065,1138,1218,1264,1288,1300,1408,1582,1639,1768,1810,1821,1910,2185,2254,2246,2460,2567,2825,2988,4330,4545,4207,4332,4248
KHM.13.4_2,23,KrongPreahSihanouk,StuengHav,707,730,771,1177,685,754,790,794,808,839,903,990,1021,1157,1243,1504,1586,1712,1501,1510,1625,1727,1779,1885,2045,2131,2474,3046,4461,4546,4226,4581,4715
KHM.14.1_2,24,MôndólKiri,KaevSeima,853,877,901,1410,889,910,937,941,958,1047,1113,1183,1215,1280,1296,1226,1391,1500,1508,1497,1583,1488,1529,1590,1684,1720,1822,1910,2189,2807,2585,2649,2960
KHM.14.2_2,25,MôndólKiri,KaohNheaek,878,903,928,1454,744,754,777,781,794,868,930,988,1020,1076,1161,1294,1419,1531,1579,1481,1550,1473,1526,1591,1661,1960,2073,2122,2243,2497,2344,2221,2321
KHM.14.3_2,26,MôndólKiri,OuReang,854,848,873,1361,858,819,843,852,865,920,985,1047,1090,1148,1238,1380,1505,1624,1745,1753,1825,1802,1891,1967,2088,2202,2480,2666,2888,3043,2976,2973,3244
KHM.14.4_2,27,MôndólKiri,PechChreada,896,909,934,1469,864,883,894,899,916,1002,1064,1150,1195,1287,1389,1559,1698,1790,1872,1888,1968,2018,2091,1970,2063,2178,2426,2523,2801,2903,2726,2639,2669
KHM.14.5_2,28,MôndólKiri,SaenMonourom,695,715,796,1228,774,811,774,777,740,809,866,857,896,907,981,1024,1117,1248,1333,1297,1414,1439,1530,1657,1845,2194,2159,2228,2376,2575,2544,2407,2385
KHM.15.1_2,29,OtdarMeanChey,AnlongVeaeng,879,905,929,1450,913,915,942,947,954,1040,1114,1185,1225,1290,1242,1384,1517,1567,1808,1703,1448,1475,1868,2075,2097,2043,1766,2678,3836,4506,4155,4119,4045
KHM.15.2_2,30,OtdarMeanChey,BanteayAmpil,884,909,933,1484,909,948,937,955,947,1035,1108,1182,1226,1299,1407,1578,1738,1955,2034,2018,2077,2167,2324,2535,2595,2712,2690,2924,3247,3277,3100,3171,3396
KHM.15.3_2,31,OtdarMeanChey,ChongKal,706,706,706,1096,709,798,821,842,856,907,971,1011,1050,1112,1202,1384,1489,1648,1770,1783,1850,2072,2045,2134,2213,2336,2691,2755,3227,3232,3035,3079,3088
KHM.15.4_2,32,OtdarMeanChey,Samraong,635,669,668,1044,651,718,703,699,671,739,779,828,882,928,1003,1049,1154,1320,1449,1515,1737,1911,1990,2249,2213,2323,2391,2272,2512,2817,2518,2712,2709
KHM.15.5_2,33,OtdarMeanChey,TrapeangPrasat,815,840,861,1348,850,868,893,921,913,998,1069,1136,1182,1190,1284,1432,1339,1428,1489,1419,1528,1559,2120,2257,2155,2229,2138,2053,2194,3646,3607,3710,3678
KHM.16.10_2,34,PhnomPenh,RusseyKeo,3104,3193,3272,4980,3228,3443,3545,3560,3625,3955,4234,4501,4689,4857,5238,5883,6373,6876,7224,6367,6877,7002,7146,7455,7912,8353,8934,9367,9615,10053,9438,9461,9702
KHM.16.11_2,35,PhnomPenh,Saensokh,2661,2737,2805,4315,2766,2969,3056,3069,3126,3411,3651,3881,4044,4225,4557,5121,5550,5989,6292,6241,6734,6847,7039,7344,7763,8197,8622,9035,9275,9676,9085,6583,6753
